duration,actor1_fb_likes,actor2_fb_likes,actor3_fb_likes,budget,movie_fb_likes,actor4_fb_likes,director_fb_likes,cast_total_fb_likes,imdb
1.3882,0.42311,-0.253,-0.60202,1.2189,-0.14932,0.20615,3.3614,-0.2916,1
2.6624,0.55604,1.1536,1.6093,1.1762,-0.35838,-0.048911,0.72243,0.56922,1
1.3442,0.19712,0.38286,1.0477,2.2447,-0.16186,0.29117,-0.37722,0.15593,1
0.24578,0.27688,-0.15666,1.3029,1.1762,-0.4002,1.7082,3.0893,0.49946,0
1.7397,0.11736,-0.50349,-0.27984,1.2189,-0.015519,-0.13393,1.4298,-0.41159,1
1.1685,2.1513,-0.73683,-0.30537,1.1762,-0.17859,10.749,-0.14815,2.1336,1
2.7502,1.4866,0.63335,0.2052,1.1762,-0.17023,0.23449,1.5114,0.5726,1
1.2124,0.11736,-0.38788,-0.53054,1.4967,-0.34584,-0.077251,1.4298,-0.28411,1
-0.32541,1.4866,0.1131,0.026501,1.1762,-0.37511,-0.5222,2.8172,0.48012,1
-0.67692,2.0183,-0.098853,0.15414,1.1762,-0.26221,1.4531,-0.42564,1.0057,0
0.11396,0.15724,-0.75263,1.5838,1.1762,0.10992,0.46122,-0.36987,1.016,1
0.070027,0.11736,-0.52276,-0.43302,1.1762,-0.49636,-0.36831,-0.43245,-0.39,1
2.2669,-0.53403,1.3463,6.715,1.1762,7.7616,0.092791,3.9055,1.3017,1
-0.45723,0.82191,4.2366,0.58813,1.0052,3.9567,0.3762,-0.40252,3.046,1
0.77303,0.68898,-0.11812,-0.10114,1.1762,-0.37511,1.2264,-0.38592,0.33503,1
-0.10572,1.7525,-0.74165,0.53708,2.2447,0.44442,0.99969,-0.32335,0.68116,0
-0.45723,4.4112,1.3463,0.53708,1.1762,0.48623,-0.19061,-0.39109,1.4908,1
0.33365,0.11736,-0.54203,-0.30537,0.81289,-0.47546,-0.42471,0.15111,-0.44557,0
1.3003,2.9489,-0.1952,0.92001,1.1762,0.026293,-0.57916,-0.34403,0.74973,1
5.5623,2.9489,-0.021779,0.43496,1.1762,5.2111,2.5301,4.1775,2.0331,1
0.33365,-0.44097,0.71043,1.5838,1.1762,-0.4211,0.77296,-0.30023,0.36803,0
0.68516,-0.70684,-0.54203,-0.38196,1.283,-0.14514,-0.40033,-0.2518,-0.24285,1
2.5745,1.0878,-0.098853,-0.43302,1.2189,4.6257,0.71628,-0.26513,0.68087,1
-0.5451,0.68898,-0.098853,0.026501,1.1762,0.31898,0.26283,-0.33315,0.14811,1
